Customer_ID,Customer_Name,Email,Location
1,Customer_1,customer1@example.com,Los Angeles
2,Customer_2,customer2@example.com,New York
3,Customer_3,customer3@example.com,Miami
4,Customer_4,customer4@example.com,New York
5,Customer_5,customer5@example.com,Miami
6,Customer_6,customer6@example.com,New York
7,Customer_7,customer7@example.com,Houston
8,Customer_8,customer8@example.com,Chicago
9,Customer_9,customer9@example.com,Chicago
10,Customer_10,customer10@example.com,Los Angeles
11,Customer_11,customer11@example.com,Miami
12,Customer_12,customer12@example.com,Miami
13,Customer_13,customer13@example.com,Miami
14,Customer_14,customer14@example.com,Houston
15,Customer_15,customer15@example.com,Miami
16,Customer_16,customer16@example.com,Chicago
17,Customer_17,customer17@example.com,Houston
18,Customer_18,customer18@example.com,New York
19,Customer_19,customer19@example.com,Miami
20,Customer_20,customer20@example.com,Miami
21,Customer_21,customer21@example.com,New York
22,Customer_22,customer22@example.com,Miami
23,Customer_23,customer23@example.com,New York
24,Customer_24,customer24@example.com,Houston
25,Customer_25,customer25@example.com,Chicago
26,Customer_26,customer26@example.com,New York
27,Customer_27,customer27@example.com,Los Angeles
28,Customer_28,customer28@example.com,New York
29,Customer_29,customer29@example.com,Miami
30,Customer_30,customer30@example.com,Houston
31,Customer_31,customer31@example.com,Houston
32,Customer_32,customer32@example.com,New York
33,Customer_33,customer33@example.com,Chicago
34,Customer_34,customer34@example.com,Los Angeles
35,Customer_35,customer35@example.com,Houston
36,Customer_36,customer36@example.com,Miami
37,Customer_37,customer37@example.com,Miami
38,Customer_38,customer38@example.com,Chicago
39,Customer_39,customer39@example.com,Houston
40,Customer_40,customer40@example.com,New York
41,Customer_41,customer41@example.com,Miami
42,Customer_42,customer42@example.com,Chicago
43,Customer_43,customer43@example.com,Houston
44,Customer_44,customer44@example.com,Houston
45,Customer_45,customer45@example.com,Houston
46,Customer_46,customer46@example.com,Houston
47,Customer_47,customer47@example.com,Houston
48,Customer_48,customer48@example.com,Miami
49,Customer_49,customer49@example.com,Chicago
50,Customer_50,customer50@example.com,Houston
51,Customer_51,customer51@example.com,Los Angeles
52,Customer_52,customer52@example.com,Los Angeles
53,Customer_53,customer53@example.com,Chicago
54,Customer_54,customer54@example.com,New York
55,Customer_55,customer55@example.com,New York
56,Customer_56,customer56@example.com,New York
57,Customer_57,customer57@example.com,Los Angeles
